domain,sub,framing,condition,category,sample_id,scalar,extraction_status,thinking_length
creative,,casual,author_ai,structured,3,5.0,clean,1184
creative,,casual,author_ai,structured,0,5.0,clean,1327
creative,,casual,author_ai,structured,5,4.0,clean,1464
creative,,casual,author_ai,structured,6,4.0,clean,1345
creative,,casual,author_ai,structured,4,5.0,clean,1415
creative,,casual,author_ai,structured,1,5.0,clean,1474
creative,,casual,author_ai,structured,7,4.0,clean,1311
creative,,casual,author_ai,structured,2,4.0,clean,1709
creative,,casual,author_ai,structured,10,4.0,clean,1386
creative,,casual,author_ai,structured,9,4.0,clean,1276
creative,,casual,author_ai,structured,12,5.0,clean,1268
creative,,casual,author_ai,structured,13,5.0,clean,1203
creative,,casual,author_ai,structured,11,4.0,clean,1289
creative,,casual,author_ai,structured,14,4.0,clean,1533
creative,,casual,author_ai,structured,17,5.0,clean,1323
creative,,casual,author_ai,structured,16,5.0,clean,1591
creative,,casual,author_ai,structured,8,4.0,clean,1425
creative,,casual,author_ai,structured,15,5.0,clean,1399
creative,,casual,author_ai,structured,19,5.0,clean,1349
creative,,casual,author_ai,structured,18,5.0,clean,1503
creative,,casual,author_awarded,structured,3,6.0,clean,1512
creative,,casual,author_awarded,structured,2,5.0,clean,1433
creative,,casual,author_awarded,structured,1,5.0,clean,1612
creative,,casual,author_awarded,structured,5,5.0,clean,1458
creative,,casual,author_awarded,structured,0,5.0,clean,1864
creative,,casual,author_awarded,structured,6,5.0,clean,1488
creative,,casual,author_awarded,structured,8,5.0,clean,1392
creative,,casual,author_awarded,structured,10,5.0,clean,1325
creative,,casual,author_awarded,structured,7,6.0,clean,1581
creative,,casual,author_awarded,structured,4,5.0,clean,1756
creative,,casual,author_awarded,structured,9,6.0,clean,1618
creative,,casual,author_awarded,structured,11,6.0,clean,1272
creative,,casual,author_awarded,structured,12,6.0,clean,1563
creative,,casual,author_awarded,structured,15,6.0,clean,1382
creative,,casual,author_awarded,structured,13,5.0,clean,1482
creative,,casual,author_awarded,structured,14,5.0,clean,1672
creative,,casual,author_awarded,structured,16,5.0,clean,1320
creative,,casual,author_awarded,structured,17,5.0,clean,1502
creative,,casual,author_awarded,structured,18,3.0,clean,1567
creative,,casual,author_awarded,structured,19,6.0,clean,1711
creative,,casual,author_elderly,structured,0,7.5,clean,1383
creative,,casual,author_elderly,structured,3,7.5,clean,1463
creative,,casual,author_elderly,structured,2,7.5,clean,1437
creative,,casual,author_elderly,structured,5,8.0,clean,1452
creative,,casual,author_elderly,structured,4,8.0,clean,1312
creative,,casual,author_elderly,structured,1,8.0,clean,1349
creative,,casual,author_elderly,structured,7,8.0,clean,1468
creative,,casual,author_elderly,structured,6,7.5,clean,1437
creative,,casual,author_elderly,structured,8,8.0,clean,1169
creative,,casual,author_elderly,structured,11,7.5,clean,1490
creative,,casual,author_elderly,structured,10,7.5,clean,1331
creative,,casual,author_elderly,structured,9,7.5,clean,1257
creative,,casual,author_elderly,structured,12,7.5,clean,1439
creative,,casual,author_elderly,structured,13,8.0,clean,1183
creative,,casual,author_elderly,structured,14,8.0,clean,1514
creative,,casual,author_elderly,structured,15,7.5,clean,1503
creative,,casual,author_elderly,structured,16,7.5,clean,1178
creative,,casual,author_elderly,structured,17,7.5,clean,1388
creative,,casual,author_elderly,structured,18,8.0,clean,1273
creative,,casual,author_elderly,structured,19,7.0,clean,1342
creative,,casual,bare,control,1,6.5,clean,1187
creative,,casual,bare,control,0,7.0,clean,1343
creative,,casual,bare,control,2,6.5,clean,1280
creative,,casual,bare,control,6,6.0,clean,1115
creative,,casual,bare,control,3,6.5,clean,1293
creative,,casual,bare,control,5,6.5,clean,1311
creative,,casual,bare,control,4,7.0,clean,1375
creative,,casual,bare,control,7,7.0,clean,1070
creative,,casual,bare,control,8,7.0,clean,1280
creative,,casual,bare,control,10,6.5,clean,1394
creative,,casual,bare,control,11,6.5,clean,1429
creative,,casual,bare,control,13,6.5,clean,1165
creative,,casual,bare,control,12,6.0,clean,1525
creative,,casual,bare,control,9,7.0,clean,1581
creative,,casual,bare,control,16,7.0,clean,1284
creative,,casual,bare,control,14,6.5,clean,1502
creative,,casual,bare,control,19,7.0,clean,1235
creative,,casual,bare,control,18,7.0,clean,1574
creative,,casual,bare,control,15,6.5,clean,1512
creative,,casual,bare,control,17,6.5,clean,1460
creative,,casual,effort_long,structured,4,5.0,clean,1350
creative,,casual,effort_long,structured,6,6.5,clean,1362
creative,,casual,effort_long,structured,1,5.0,clean,1493
creative,,casual,effort_long,structured,0,7.0,clean,1672
creative,,casual,effort_long,structured,2,5.0,clean,1739
creative,,casual,effort_long,structured,10,6.0,clean,1571
creative,,casual,effort_long,structured,5,5.0,clean,1628
creative,,casual,effort_long,structured,3,6.0,clean,1713
creative,,casual,effort_long,structured,11,6.0,clean,1399
creative,,casual,effort_long,structured,8,7.0,clean,1447
creative,,casual,effort_long,structured,12,5.0,clean,1464
creative,,casual,effort_long,structured,7,6.0,clean,2126
creative,,casual,effort_long,structured,9,6.5,clean,1552
creative,,casual,effort_long,structured,13,6.0,clean,1611
creative,,casual,effort_long,structured,17,6.0,clean,1677
creative,,casual,effort_long,structured,14,7.0,clean,1578
creative,,casual,effort_long,structured,15,5.0,clean,1587
creative,,casual,effort_long,structured,18,5.0,clean,1814
creative,,casual,effort_long,structured,16,6.5,clean,1509
creative,,casual,effort_long,structured,19,5.0,clean,1791
creative,,casual,translation,structured,0,6.0,clean,1300
creative,,casual,translation,structured,1,5.0,clean,1257
creative,,casual,translation,structured,4,6.0,clean,1155
creative,,casual,translation,structured,12,6.0,clean,1024
creative,,casual,translation,structured,7,6.0,clean,1360
creative,,casual,translation,structured,9,6.5,clean,1270
creative,,casual,translation,structured,10,6.0,clean,1231
creative,,casual,translation,structured,5,7.0,clean,1411
creative,,casual,translation,structured,3,7.0,clean,1299
creative,,casual,translation,structured,2,6.5,clean,1317
creative,,casual,translation,structured,11,6.5,clean,1451
creative,,casual,translation,structured,8,7.0,clean,1397
creative,,casual,translation,structured,6,6.0,clean,2188
creative,,casual,translation,structured,13,6.0,clean,1256
creative,,casual,translation,structured,14,6.5,clean,1396
creative,,casual,translation,structured,15,6.5,clean,1309
creative,,casual,translation,structured,18,6.5,clean,1310
creative,,casual,translation,structured,17,6.5,clean,1335
creative,,casual,translation,structured,19,6.5,clean,1360
creative,,casual,translation,structured,16,6.0,clean,1449
creative,,casual,vibe_astrology,vibe,0,5.0,clean,1354
creative,,casual,vibe_astrology,vibe,1,5.0,clean,1292
creative,,casual,vibe_astrology,vibe,2,5.0,clean,1577
creative,,casual,vibe_astrology,vibe,3,5.0,clean,1308
creative,,casual,vibe_astrology,vibe,4,4.0,clean,1249
creative,,casual,vibe_astrology,vibe,9,5.0,clean,1388
creative,,casual,vibe_astrology,vibe,8,5.0,clean,1363
creative,,casual,vibe_astrology,vibe,7,5.0,clean,1480
creative,,casual,vibe_astrology,vibe,5,5.0,clean,1595
creative,,casual,vibe_astrology,vibe,6,5.0,clean,1732
creative,,casual,vibe_astrology,vibe,10,5.0,clean,1737
creative,,casual,vibe_astrology,vibe,11,5.0,clean,1459
creative,,casual,vibe_astrology,vibe,12,5.0,clean,1509
creative,,casual,vibe_astrology,vibe,13,5.0,clean,1241
creative,,casual,vibe_astrology,vibe,14,5.0,clean,1414
creative,,casual,vibe_astrology,vibe,18,5.0,clean,1365
creative,,casual,vibe_astrology,vibe,15,6.0,clean,1594
creative,,casual,vibe_astrology,vibe,16,5.0,clean,1587
creative,,casual,vibe_astrology,vibe,19,4.0,clean,1454
creative,,casual,vibe_astrology,vibe,17,5.0,clean,1905
creative,,casual,vibe_cringe_ig,vibe,1,7.0,clean,1232
creative,,casual,vibe_cringe_ig,vibe,6,7.0,clean,1013
creative,,casual,vibe_cringe_ig,vibe,0,7.0,clean,1333
creative,,casual,vibe_cringe_ig,vibe,3,7.0,clean,1130
creative,,casual,vibe_cringe_ig,vibe,4,6.5,clean,1243
creative,,casual,vibe_cringe_ig,vibe,10,7.0,clean,933
creative,,casual,vibe_cringe_ig,vibe,5,5.0,clean,1443
creative,,casual,vibe_cringe_ig,vibe,2,6.0,clean,1757
creative,,casual,vibe_cringe_ig,vibe,9,7.0,clean,1226
creative,,casual,vibe_cringe_ig,vibe,8,5.0,clean,1589
creative,,casual,vibe_cringe_ig,vibe,12,7.0,clean,1341
creative,,casual,vibe_cringe_ig,vibe,11,7.0,clean,1127
creative,,casual,vibe_cringe_ig,vibe,7,6.5,clean,1932
creative,,casual,vibe_cringe_ig,vibe,14,7.0,clean,1142
creative,,casual,vibe_cringe_ig,vibe,13,6.0,clean,1523
creative,,casual,vibe_cringe_ig,vibe,18,6.5,clean,1233
creative,,casual,vibe_cringe_ig,vibe,15,6.0,clean,1478
creative,,casual,vibe_cringe_ig,vibe,16,7.0,clean,1480
creative,,casual,vibe_cringe_ig,vibe,17,6.5,clean,1512
creative,,casual,vibe_cringe_ig,vibe,19,6.5,clean,1639
creative,,casual,vibe_crypto,vibe,5,7.0,clean,1083
creative,,casual,vibe_crypto,vibe,0,7.0,clean,1269
creative,,casual,vibe_crypto,vibe,9,7.0,clean,1113
creative,,casual,vibe_crypto,vibe,1,6.0,clean,1526
creative,,casual,vibe_crypto,vibe,4,6.0,clean,1360
creative,,casual,vibe_crypto,vibe,3,6.0,clean,1563
creative,,casual,vibe_crypto,vibe,8,6.0,clean,1533
creative,,casual,vibe_crypto,vibe,6,6.0,clean,1606
creative,,casual,vibe_crypto,vibe,2,7.0,clean,1655
creative,,casual,vibe_crypto,vibe,10,6.0,clean,1640
creative,,casual,vibe_crypto,vibe,7,6.5,clean,1412
creative,,casual,vibe_crypto,vibe,12,6.0,clean,1216
creative,,casual,vibe_crypto,vibe,11,7.0,clean,1555
creative,,casual,vibe_crypto,vibe,14,6.0,clean,1401
creative,,casual,vibe_crypto,vibe,15,6.0,clean,1140
creative,,casual,vibe_crypto,vibe,18,6.0,clean,1433
creative,,casual,vibe_crypto,vibe,17,6.0,clean,1232
creative,,casual,vibe_crypto,vibe,19,6.5,clean,1288
creative,,casual,vibe_crypto,vibe,13,6.0,clean,1851
creative,,casual,vibe_crypto,vibe,16,7.0,clean,1313
