domain,sub,framing,condition,n,mean,std,shift,cohens_d,p_value,p_bonferroni,sig
creative,,casual,author_ai,20,4.55,0.5104177855340405,-2.1000000000000005,-4.892851929090028,1.5701936804614118e-16,2.1982711526459767e-15,***
creative,,casual,vibe_astrology,20,4.95,0.39403446282620613,-1.7000000000000002,-4.686576575710676,4.288633848408706e-17,6.004087387772188e-16,***
creative,,casual,author_awarded,20,5.25,0.7163503994113789,-1.4000000000000004,-2.512342414317695,1.6871819936510152e-08,2.3620547911114214e-07,***
creative,,casual,vibe_old_crush,20,5.35,0.4893604849295929,-1.3000000000000007,-3.119343365245808,2.11278461717716e-11,2.957898464048024e-10,***
creative,,casual,vibe_read_aloud_badly,20,5.375,0.5349618776383189,-1.2750000000000004,-2.872324915005661,2.5775137699484173e-10,3.6085192779277843e-09,***
creative,,casual,vibe_weird_email,20,5.45,0.6261830907633125,-1.2000000000000002,-2.4000000000000004,2.438052273324427e-08,3.413273182654198e-07,***
creative,,casual,author_elderly,20,7.675,0.2935714743061999,1.0249999999999995,3.2904072181140345,1.2975647201460742e-12,1.816590608204504e-11,***
creative,,casual,vibe_friend_ex,20,5.7,0.5231483637805969,-0.9500000000000002,-2.174935591594889,8.832505193026887e-08,1.2365507270237642e-06,***
creative,,casual,effort_long,20,5.825,0.7656266783010607,-0.8250000000000002,-1.400440012099109,0.00015454678777966838,0.0021636550289153575,**
creative,,casual,vibe_former_roommate,20,6.075,0.1831737742662616,-0.5750000000000002,-2.162147941499433,1.4354545063475638e-07,2.009636308886589e-06,***
creative,,casual,vibe_vegan,20,6.225,0.3431663705766298,-0.4250000000000007,-1.2652567468970553,0.0002821180249011831,0.003949652348616563,**
creative,,casual,translation,20,6.3,0.47016234598162726,-0.35000000000000053,-0.863017960415658,0.009984926338542092,0.1397889687395893,
creative,,casual,vibe_crypto,20,6.35,0.46169025843831935,-0.3000000000000007,-0.7487694823541627,0.023667651516270892,0.3313471212277925,
creative,,casual,vibe_cringe_ig,20,6.525,0.6381511122808321,-0.125,-0.24630085746551986,0.4424954695613243,1.0,
creative,,editorial,author_ai,20,2.85,0.36634754853252327,-3.5749999999999997,-7.080468364314929,1.020302204163245e-20,2.3466950695754634e-19,***
creative,,editorial,vibe_astrology,20,4.1,0.4472135954999579,-2.325,-4.333668851479739,1.4040695019935742e-15,3.2293598545852205e-14,***
creative,,editorial,vibe_old_crush,20,4.4,0.6805570473787206,-2.0249999999999995,-3.1268476890613384,5.2472131130949274e-12,1.2068590160118332e-10,***
creative,,editorial,vibe_friend_ex,20,4.7,0.5712405705774793,-1.7249999999999996,-2.911680255780591,3.370921466069296e-11,7.753119371959381e-10,***
creative,,editorial,vibe_nervous,20,4.825,0.9357659401457408,-1.5999999999999996,-2.022793354444402,3.112573743966332e-07,7.158919611122563e-06,***
creative,,editorial,effort_long,20,4.95,0.9304780887716865,-1.4749999999999996,-1.8721595690646335,1.2369136088847261e-06,2.84490130043487e-05,***
