model_key,domain,sub,framing,condition,category,sample_id,scalar,extraction_status,thinking_length
glm,creative,,casual,author_ai,structured,2,7.0,clean,2856
glm,creative,,casual,author_ai,structured,1,7.5,clean,4867
glm,creative,,casual,author_ai,structured,3,6.0,clean,3913
glm,creative,,casual,author_ai,structured,0,6.0,clean,4384
glm,creative,,casual,author_ai,structured,9,5.0,clean,4085
glm,creative,,casual,author_ai,structured,5,6.0,clean,4650
glm,creative,,casual,author_ai,structured,6,7.0,clean,3235
glm,creative,,casual,author_ai,structured,10,6.0,clean,4105
glm,creative,,casual,author_ai,structured,8,6.0,clean,3549
glm,creative,,casual,author_ai,structured,7,6.0,clean,3699
glm,creative,,casual,author_ai,structured,11,6.0,clean,4875
glm,creative,,casual,author_ai,structured,4,7.0,clean,4836
glm,creative,,casual,author_ai,structured,15,6.0,clean,3991
glm,creative,,casual,author_ai,structured,13,7.0,clean,5322
glm,creative,,casual,author_ai,structured,14,6.0,clean,3347
glm,creative,,casual,author_ai,structured,12,6.0,clean,4334
glm,creative,,casual,author_ai,structured,16,7.0,clean,4195
glm,creative,,casual,author_ai,structured,19,7.0,clean,4258
glm,creative,,casual,author_ai,structured,17,6.0,clean,3731
glm,creative,,casual,author_ai,structured,18,5.0,clean,6452
glm,creative,,casual,author_awarded,structured,0,6.0,clean,4393
glm,creative,,casual,author_awarded,structured,1,6.0,clean,4310
glm,creative,,casual,author_awarded,structured,3,6.0,clean,5060
glm,creative,,casual,author_awarded,structured,2,6.0,clean,4376
glm,creative,,casual,author_awarded,structured,4,6.5,clean,5482
glm,creative,,casual,author_awarded,structured,6,7.0,clean,4799
glm,creative,,casual,author_awarded,structured,7,6.0,clean,4439
glm,creative,,casual,author_awarded,structured,9,6.0,clean,2795
glm,creative,,casual,author_awarded,structured,5,6.0,clean,5097
glm,creative,,casual,author_awarded,structured,8,6.0,clean,5564
glm,creative,,casual,author_awarded,structured,10,7.0,clean,4648
glm,creative,,casual,author_awarded,structured,11,7.0,clean,4429
glm,creative,,casual,author_awarded,structured,14,6.5,clean,5022
glm,creative,,casual,author_awarded,structured,15,6.0,clean,5302
glm,creative,,casual,author_awarded,structured,12,6.0,clean,6010
glm,creative,,casual,author_awarded,structured,13,6.0,clean,5664
glm,creative,,casual,author_awarded,structured,17,6.0,clean,2940
glm,creative,,casual,author_awarded,structured,16,6.0,clean,4918
glm,creative,,casual,author_awarded,structured,19,5.0,clean,4412
glm,creative,,casual,author_awarded,structured,18,6.0,clean,6550
glm,creative,,casual,author_elderly,structured,0,9.0,clean,3880
glm,creative,,casual,author_elderly,structured,2,9.0,clean,4937
glm,creative,,casual,author_elderly,structured,1,9.0,clean,4777
glm,creative,,casual,author_elderly,structured,4,9.0,clean,4524
glm,creative,,casual,author_elderly,structured,3,9.0,clean,4653
glm,creative,,casual,author_elderly,structured,5,9.0,clean,4800
glm,creative,,casual,author_elderly,structured,6,9.0,clean,4160
glm,creative,,casual,author_elderly,structured,8,9.0,clean,2730
glm,creative,,casual,author_elderly,structured,7,9.0,clean,4718
glm,creative,,casual,author_elderly,structured,9,9.0,clean,3791
