model_key,domain,sub,framing,condition,category,sample_id,scalar,extraction_status,thinking_length
glm,creative,,casual,author_ai,structured,1,5.0,clean,6633
glm,creative,,casual,author_ai,structured,4,5.0,clean,0
glm,creative,,casual,author_ai,structured,6,5.0,clean,0
glm,creative,,casual,author_ai,structured,2,5.0,clean,5326
glm,creative,,casual,author_ai,structured,5,4.0,clean,6426
glm,creative,,casual,author_ai,structured,0,4.5,clean,8453
glm,creative,,casual,author_ai,structured,3,4.0,clean,5677
glm,creative,,casual,author_ai,structured,7,4.0,clean,5822
glm,creative,,casual,author_ai,structured,8,5.0,clean,6409
glm,creative,,casual,author_ai,structured,13,3.0,clean,6178
glm,creative,,casual,author_ai,structured,9,5.0,clean,5321
glm,creative,,casual,author_ai,structured,11,5.0,clean,5355
glm,creative,,casual,author_ai,structured,12,5.0,clean,7315
glm,creative,,casual,author_ai,structured,15,4.0,clean,6734
glm,creative,,casual,author_ai,structured,16,4.0,clean,6056
glm,creative,,casual,author_ai,structured,14,4.0,clean,6823
glm,creative,,casual,author_ai,structured,18,4.0,clean,5816
glm,creative,,casual,author_ai,structured,17,5.0,clean,7131
glm,creative,,casual,author_ai,structured,10,4.0,clean,6340
glm,creative,,casual,author_ai,structured,19,4.0,clean,11540
glm,creative,,casual,author_awarded,structured,0,6.0,clean,7490
glm,creative,,casual,author_awarded,structured,2,6.0,clean,0
glm,creative,,casual,author_awarded,structured,4,6.0,clean,0
glm,creative,,casual,author_awarded,structured,5,5.0,clean,5438
glm,creative,,casual,author_awarded,structured,1,6.0,clean,5939
glm,creative,,casual,author_awarded,structured,6,4.0,clean,5985
glm,creative,,casual,author_awarded,structured,3,5.0,clean,4842
glm,creative,,casual,author_awarded,structured,9,4.0,clean,5120
glm,creative,,casual,author_awarded,structured,11,6.0,clean,5960
glm,creative,,casual,author_awarded,structured,12,4.0,clean,5498
glm,creative,,casual,author_awarded,structured,13,5.0,clean,4756
glm,creative,,casual,author_awarded,structured,10,5.0,clean,9721
glm,creative,,casual,author_awarded,structured,7,5.0,clean,7879
glm,creative,,casual,author_awarded,structured,14,6.0,clean,5309
glm,creative,,casual,author_awarded,structured,8,4.0,clean,5254
glm,creative,,casual,author_awarded,structured,15,4.0,clean,5998
glm,creative,,casual,author_awarded,structured,17,6.0,clean,5954
glm,creative,,casual,author_awarded,structured,18,5.0,clean,5297
glm,creative,,casual,author_awarded,structured,16,4.0,clean,7685
glm,creative,,casual,author_awarded,structured,19,4.0,clean,8024
glm,creative,,casual,author_elderly,structured,0,8.0,clean,6037
glm,creative,,casual,author_elderly,structured,1,9.0,clean,4705
glm,creative,,casual,author_elderly,structured,3,8.0,clean,4867
glm,creative,,casual,author_elderly,structured,5,8.0,clean,5863
glm,creative,,casual,author_elderly,structured,4,8.0,clean,5250
glm,creative,,casual,author_elderly,structured,6,8.0,clean,4243
glm,creative,,casual,author_elderly,structured,2,8.0,clean,5943
glm,creative,,casual,author_elderly,structured,9,8.0,clean,5228
glm,creative,,casual,author_elderly,structured,8,8.0,clean,7239
glm,creative,,casual,author_elderly,structured,13,9.0,clean,5664
glm,creative,,casual,author_elderly,structured,12,8.0,clean,5308
glm,creative,,casual,author_elderly,structured,11,8.0,clean,7487
glm,creative,,casual,author_elderly,structured,7,8.0,clean,4374
glm,creative,,casual,author_elderly,structured,15,8.0,clean,5389
glm,creative,,casual,author_elderly,structured,14,,no_scalar_found,5995
glm,creative,,casual,author_elderly,structured,16,8.0,clean,6045
