domain,sub,framing,condition,intervention,category,sample_id,scalar,extraction_status,thinking_length
creative,,casual,author_ai,expert_persona,structured,1,3.0,clean,1750
creative,,casual,author_ai,expert_persona,structured,0,4.0,clean,1775
creative,,casual,author_ai,expert_persona,structured,4,4.0,clean,1796
creative,,casual,author_ai,expert_persona,structured,5,4.0,clean,1947
creative,,casual,author_ai,expert_persona,structured,7,4.0,clean,1835
creative,,casual,author_ai,expert_persona,structured,9,4.0,clean,1577
creative,,casual,author_ai,expert_persona,structured,3,4.0,clean,2075
creative,,casual,author_ai,expert_persona,structured,2,5.0,clean,2465
creative,,casual,author_ai,expert_persona,structured,6,4.0,clean,1936
creative,,casual,author_ai,expert_persona,structured,8,4.0,clean,2438
creative,,casual,author_ai,expert_persona,structured,10,4.0,clean,1981
creative,,casual,author_ai,expert_persona,structured,11,3.5,clean,1941
creative,,casual,author_ai,expert_persona,structured,12,4.0,clean,2146
creative,,casual,author_ai,expert_persona,structured,13,4.0,clean,1742
creative,,casual,author_ai,expert_persona,structured,17,4.0,clean,1554
creative,,casual,author_ai,expert_persona,structured,15,5.0,clean,1793
creative,,casual,author_ai,expert_persona,structured,18,5.0,clean,1612
creative,,casual,author_ai,expert_persona,structured,14,3.0,clean,1764
creative,,casual,author_ai,expert_persona,structured,16,3.0,clean,1872
creative,,casual,author_ai,expert_persona,structured,19,4.0,clean,2277
creative,,casual,author_ai,fairness,structured,2,5.0,clean,1560
creative,,casual,author_ai,fairness,structured,6,6.0,clean,1441
creative,,casual,author_ai,fairness,structured,3,5.0,clean,1628
creative,,casual,author_ai,fairness,structured,0,5.0,clean,1748
creative,,casual,author_ai,fairness,structured,5,4.0,clean,1573
creative,,casual,author_ai,fairness,structured,1,5.0,clean,1690
creative,,casual,author_ai,fairness,structured,4,5.0,clean,1711
creative,,casual,author_ai,fairness,structured,7,5.0,clean,2002
creative,,casual,author_ai,fairness,structured,9,4.0,clean,1452
creative,,casual,author_ai,fairness,structured,8,5.0,clean,1798
creative,,casual,author_ai,fairness,structured,10,5.0,clean,1622
creative,,casual,author_ai,fairness,structured,11,5.0,clean,1730
creative,,casual,author_ai,fairness,structured,14,5.0,clean,1370
creative,,casual,author_ai,fairness,structured,15,5.0,clean,1484
creative,,casual,author_ai,fairness,structured,12,5.0,clean,2044
creative,,casual,author_ai,fairness,structured,17,6.0,clean,1669
creative,,casual,author_ai,fairness,structured,13,5.0,clean,1992
creative,,casual,author_ai,fairness,structured,18,5.0,clean,1598
creative,,casual,author_ai,fairness,structured,16,5.0,clean,2216
creative,,casual,author_ai,fairness,structured,19,5.0,clean,1815
creative,,casual,author_ai,rubric_focus,structured,0,5.0,clean,2331
creative,,casual,author_ai,rubric_focus,structured,1,5.0,clean,2445
creative,,casual,author_ai,rubric_focus,structured,2,5.0,clean,2214
creative,,casual,author_ai,rubric_focus,structured,4,4.0,clean,1686
creative,,casual,author_ai,rubric_focus,structured,6,5.0,clean,1681
creative,,casual,author_ai,rubric_focus,structured,3,5.0,clean,2268
creative,,casual,author_ai,rubric_focus,structured,5,6.0,clean,2133
creative,,casual,author_ai,rubric_focus,structured,7,5.0,clean,2333
creative,,casual,author_ai,rubric_focus,structured,9,5.0,clean,2213
creative,,casual,author_ai,rubric_focus,structured,8,5.0,clean,2585
creative,,casual,author_ai,rubric_focus,structured,10,5.0,clean,2444
creative,,casual,author_ai,rubric_focus,structured,12,5.0,clean,2080
creative,,casual,author_ai,rubric_focus,structured,11,4.0,clean,2432
creative,,casual,author_ai,rubric_focus,structured,14,5.0,clean,2197
creative,,casual,author_ai,rubric_focus,structured,13,4.0,clean,2255
creative,,casual,author_ai,rubric_focus,structured,17,4.0,clean,1900
creative,,casual,author_ai,rubric_focus,structured,16,5.0,clean,2429
creative,,casual,author_ai,rubric_focus,structured,18,5.0,clean,2108
creative,,casual,author_ai,rubric_focus,structured,15,5.0,clean,2397
creative,,casual,author_ai,rubric_focus,structured,19,5.0,clean,1754
creative,,casual,author_ai,structured_output,structured,1,4.0,clean,2278
creative,,casual,author_ai,structured_output,structured,2,4.0,clean,2540
creative,,casual,author_ai,structured_output,structured,4,5.0,clean,2060
creative,,casual,author_ai,structured_output,structured,0,4.0,clean,2808
creative,,casual,author_ai,structured_output,structured,3,4.0,clean,2545
creative,,casual,author_ai,structured_output,structured,5,4.0,clean,2918
creative,,casual,author_ai,structured_output,structured,6,5.0,clean,2347
creative,,casual,author_ai,structured_output,structured,9,4.0,clean,2273
creative,,casual,author_ai,structured_output,structured,7,5.0,clean,2492
creative,,casual,author_ai,structured_output,structured,12,4.0,clean,2107
creative,,casual,author_ai,structured_output,structured,11,4.0,clean,2261
creative,,casual,author_ai,structured_output,structured,8,4.0,clean,2660
creative,,casual,author_ai,structured_output,structured,13,4.0,clean,2416
creative,,casual,author_ai,structured_output,structured,10,4.0,clean,3165
creative,,casual,author_ai,structured_output,structured,14,4.0,clean,2276
creative,,casual,author_ai,structured_output,structured,15,4.0,clean,2408
creative,,casual,author_ai,structured_output,structured,18,3.0,clean,2083
creative,,casual,author_ai,structured_output,structured,19,4.0,clean,2169
creative,,casual,author_ai,structured_output,structured,16,4.0,clean,2735
creative,,casual,author_ai,structured_output,structured,17,4.0,clean,2734
creative,,casual,author_awarded,expert_persona,structured,0,5.0,clean,1662
creative,,casual,author_awarded,expert_persona,structured,1,4.0,clean,2111
creative,,casual,author_awarded,expert_persona,structured,2,5.0,clean,1976
creative,,casual,author_awarded,expert_persona,structured,3,4.0,clean,2013
creative,,casual,author_awarded,expert_persona,structured,4,5.0,clean,1944
creative,,casual,author_awarded,expert_persona,structured,5,5.0,clean,1776
creative,,casual,author_awarded,expert_persona,structured,7,5.0,clean,1495
creative,,casual,author_awarded,expert_persona,structured,6,4.0,clean,1663
creative,,casual,author_awarded,expert_persona,structured,8,5.0,clean,1804
creative,,casual,author_awarded,expert_persona,structured,9,5.0,clean,1898
creative,,casual,author_awarded,expert_persona,structured,10,4.0,clean,1453
creative,,casual,author_awarded,expert_persona,structured,13,4.0,clean,1653
creative,,casual,author_awarded,expert_persona,structured,12,5.5,clean,2136
creative,,casual,author_awarded,expert_persona,structured,14,5.0,clean,1739
creative,,casual,author_awarded,expert_persona,structured,19,5.0,clean,1621
creative,,casual,author_awarded,expert_persona,structured,15,4.0,clean,1874
creative,,casual,author_awarded,expert_persona,structured,11,5.0,clean,2536
creative,,casual,author_awarded,expert_persona,structured,18,4.0,clean,2052
creative,,casual,author_awarded,expert_persona,structured,17,5.0,clean,1704
creative,,casual,author_awarded,expert_persona,structured,16,5.0,clean,1838
creative,,casual,author_awarded,fairness,structured,1,6.0,clean,1575
creative,,casual,author_awarded,fairness,structured,2,6.0,clean,1663
creative,,casual,author_awarded,fairness,structured,5,6.5,clean,1414
