domain,sub,framing,intervention,condition,n,mean,std,bare_mean,shift,cohens_d,p_value,p_bonferroni,sig
creative,,casual,expert_persona,author_ai,20,3.975,0.5729655082849321,5.75,-1.775,-3.3787352966762514,8.148356803806779e-13,8.963192484187457e-12,***
creative,,casual,expert_persona,author_awarded,20,4.675,0.5199949392466289,5.75,-1.0750000000000002,-2.1628444554525936,4.24388296050535e-08,4.6682712565558847e-07,***
creative,,casual,expert_persona,author_elderly,20,6.725,0.4993416718672275,5.75,0.9749999999999996,2.004827275881792,1.9723014253586913e-07,2.1695315678945604e-06,***
creative,,casual,expert_persona,vibe_astrology,20,4.875,0.6042611843792123,5.75,-0.875,-1.6126247732246572,1.1134220858675607e-05,0.0001224764294454317,***
creative,,casual,expert_persona,effort_long,20,4.9,0.4472135954999579,5.75,-0.8499999999999996,-1.8467698844769957,9.538581061296589e-07,1.0492439167426248e-05,***
creative,,casual,expert_persona,vibe_weird_email,20,4.95,0.7052435189724409,5.75,-0.7999999999999998,-1.332359741868473,0.00018117203726151295,0.0019928924098766426,**
creative,,casual,expert_persona,vibe_old_crush,20,5.0,0.4866642633922876,5.75,-0.75,-1.5629642167551832,1.591310695095841e-05,0.0001750441764605425,***
creative,,casual,expert_persona,vibe_read_aloud_badly,20,5.125,0.6858532910485341,5.75,-0.625,-1.0609394031053854,0.0019737206808453133,0.021710927489298447,*
creative,,casual,expert_persona,vibe_former_roommate,20,5.5,0.5848976518656018,5.75,-0.25,-0.4700321611955287,0.14579054004896802,1.0,
creative,,casual,expert_persona,vibe_friend_ex,20,5.5,0.512989176042577,5.75,-0.25,-0.5067117097095317,0.11741081696685968,1.0,
creative,,casual,expert_persona,vibe_vegan,20,5.675,0.6129093691051247,5.75,-0.07500000000000018,-0.13700577279175405,0.6674392211865816,1.0,
creative,,casual,fairness,author_ai,20,5.0,0.45883146774112354,6.65,-1.6500000000000004,-3.7017089305647093,3.7902254399089244e-14,4.169247983899817e-13,***
creative,,casual,fairness,vibe_astrology,20,5.7,0.5477225575051661,6.65,-0.9500000000000002,-1.9255044968962212,5.256798254049154e-07,5.78247807945407e-06,***
creative,,casual,fairness,author_elderly,20,7.525,0.34316637057662985,6.65,0.875,2.242096750850147,2.4477778099806135e-08,2.692555590978675e-07,***
creative,,casual,fairness,author_awarded,20,5.825,0.46665100224336475,6.65,-0.8250000000000002,-1.834227424258628,1.090864682891992e-06,1.1999511511811912e-05,***
creative,,casual,fairness,effort_long,20,6.1,0.6198471798078857,6.65,-0.5500000000000007,-1.0292944207603079,0.002571663511031629,0.028288298621347917,*
creative,,casual,fairness,vibe_old_crush,20,6.1,0.5982430416161189,6.65,-0.5500000000000007,-1.0538633779212911,0.002058460755126587,0.022643068306392455,*
creative,,casual,fairness,vibe_weird_email,20,6.8,0.2513123449750173,6.65,0.14999999999999947,0.42426406871192696,0.1896078871027784,1.0,
creative,,casual,fairness,vibe_former_roommate,20,6.775,0.3431663705766298,6.65,0.125,0.3202995358357353,0.31785263996571295,1.0,
creative,,casual,fairness,vibe_vegan,20,6.75,0.3804429551263411,6.65,0.09999999999999964,0.2455961325376682,0.4422541644330568,1.0,
creative,,casual,fairness,vibe_read_aloud_badly,20,6.575,0.4063638504436246,6.65,-0.07500000000000018,-0.178780918507625,0.5751680591874024,1.0,
creative,,casual,fairness,vibe_friend_ex,20,6.625,0.35817519970568945,6.65,-0.025000000000000355,-0.06298092629712881,0.8432334878362108,1.0,
creative,,casual,rubric_focus,author_ai,20,4.85,0.4893604849295929,6.675,-1.8250000000000002,-3.5246894306906085,1.7904654065900137e-13,1.969511947249015e-12,***
creative,,casual,rubric_focus,author_awarded,20,5.4,0.4472135954999579,6.675,-1.2749999999999995,-2.558429775058772,1.1390010339943004e-09,1.2529011373937305e-08,***
creative,,casual,rubric_focus,vibe_read_aloud_badly,20,5.525,0.6381511122808321,6.675,-1.1499999999999995,-1.9383970639603458,4.15288020816003e-07,4.568168228976033e-06,***
creative,,casual,rubric_focus,vibe_old_crush,20,5.725,0.6171880204861231,6.675,-0.9500000000000002,-1.6320812848594122,8.328087821134763e-06,9.160896603248238e-05,***
creative,,casual,rubric_focus,vibe_astrology,20,5.75,0.47295265146345866,6.675,-0.9249999999999998,-1.8133861014607235,1.404057445631482e-06,1.5444631901946303e-05,***
creative,,casual,rubric_focus,vibe_friend_ex,20,6.075,0.4940434670840422,6.675,-0.5999999999999996,-1.1538573834377743,0.0007949600473456482,0.008744560520802129,**
creative,,casual,rubric_focus,effort_long,20,6.125,0.8090767968233267,6.675,-0.5499999999999998,-0.7974718004266953,0.016635778469962573,0.1829935631695883,
creative,,casual,rubric_focus,author_elderly,20,7.2,0.34027852368936023,6.675,0.5250000000000004,1.1560119533826796,0.0009153202458071846,0.01006852270387903,*
creative,,casual,rubric_focus,vibe_weird_email,20,6.4,0.4757265910937544,6.675,-0.27499999999999947,-0.5377568130085436,0.09734944397650254,1.0,
creative,,casual,rubric_focus,vibe_vegan,20,6.525,0.5729655082849321,6.675,-0.14999999999999947,-0.2683281572999738,0.40147106713950526,1.0,
creative,,casual,rubric_focus,vibe_former_roommate,20,6.675,0.4063638504436246,6.675,0.0,0.0,1.0,1.0,
creative,,casual,structured_output,author_ai,20,4.1,0.4472135954999579,6.55,-2.45,-4.83677154456968,2.188986477415713e-17,2.4078851251572844e-16,***
creative,,casual,structured_output,vibe_astrology,20,5.125,0.7232055833505945,6.55,-1.4249999999999998,-2.203834009864848,3.7408140767287235e-08,4.114895484401596e-07,***
creative,,casual,structured_output,author_awarded,20,5.375,0.5820788515945965,6.55,-1.1749999999999998,-2.0579642738816326,1.1558994783442682e-07,1.271489426178695e-06,***
creative,,casual,structured_output,vibe_vegan,20,5.475,0.697269109115208,6.55,-1.0750000000000002,-1.7004235734716533,4.616751079539843e-06,5.078426187493828e-05,***
creative,,casual,structured_output,author_elderly,20,7.575,0.4063638504436246,6.55,1.0250000000000004,2.096010489594383,1.2118386018235624e-07,1.3330224620059188e-06,***
creative,,casual,structured_output,vibe_weird_email,20,5.525,0.7340407273943892,6.55,-1.0249999999999995,-1.5704559994893341,1.7186884153896816e-05,0.00018905572569286497,***
creative,,casual,structured_output,vibe_old_crush,20,5.675,0.6129093691051247,6.55,-0.875,-1.4909789224153758,3.272780492733673e-05,0.00036000585420070403,***
creative,,casual,structured_output,vibe_read_aloud_badly,20,5.9,0.47572659109375437,6.55,-0.6499999999999995,-1.2515356420872046,0.0003297458114948132,0.0036272039264429448,**
creative,,casual,structured_output,vibe_friend_ex,20,5.975,0.5729655082849321,6.55,-0.5750000000000002,-1.0153185681705006,0.0026945587739854913,0.029640146513840403,*
creative,,casual,structured_output,vibe_former_roommate,20,6.0,0.5848976518656018,6.55,-0.5499999999999998,-0.9608814561072361,0.00428875970398795,0.04717635674386745,*
creative,,casual,structured_output,effort_long,20,6.1625,0.8202815626998226,6.55,-0.3875000000000002,-0.5518790405479843,0.09010894925077184,0.9911984417584903,
creative,,editorial,expert_persona,author_ai,20,2.75,0.4442616583193193,5.175,-2.425,-3.810829410522167,4.800025583831007e-13,7.200038375746511e-12,***
creative,,editorial,expert_persona,vibe_no_eye_contact,20,3.95,0.6048053188292994,5.175,-1.2249999999999996,-1.7515292578456803,2.9411616907519425e-06,4.4117425361279136e-05,***
