model_key,framing,condition,family,sample_id,scalar,extraction_status,thinking_length
glm,first_person,bare,control,0,,refusal,12020
glm,first_person,bare,control,2,4.0,clean,6073
glm,first_person,bare,control,1,4.0,clean,5424
glm,first_person,bare,control,3,4.0,ambiguous_multiple_numbers,5388
glm,first_person,bare,control,6,3.0,clean,4070
glm,first_person,bare,control,10,4.0,clean,0
glm,first_person,bare,control,11,4.0,clean,0
glm,first_person,bare,control,5,4.0,clean,4189
glm,first_person,bare,control,4,5.0,clean,6727
glm,first_person,bare,control,12,5.0,clean,6980
glm,first_person,bare,control,7,5.0,ambiguous_multiple_numbers,4828
glm,first_person,bare,control,8,3.0,clean,4543
glm,first_person,bare,control,9,5.0,clean,6670
glm,first_person,bare,control,15,4.0,clean,5682
glm,first_person,bare,control,16,4.0,clean,5773
glm,first_person,bare,control,14,,no_scalar_found,8106
glm,first_person,bare,control,17,5.0,clean,6202
glm,first_person,bare,control,19,4.0,clean,6202
glm,first_person,bare,control,18,4.0,clean,9128
glm,first_person,bare,control,13,5.0,clean,6018
glm,first_person,control_irrelevant,control,0,4.0,clean,5052
glm,first_person,control_irrelevant,control,2,,refusal,8638
glm,first_person,control_irrelevant,control,4,5.0,clean,7398
glm,first_person,control_irrelevant,control,3,4.0,clean,4768
glm,first_person,control_irrelevant,control,1,,refusal,4060
glm,first_person,control_irrelevant,control,7,5.0,clean,6276
glm,first_person,control_irrelevant,control,6,,no_scalar_found,6844
glm,first_person,control_irrelevant,control,8,4.0,clean,7200
glm,first_person,control_irrelevant,control,9,4.0,ambiguous_multiple_numbers,6461
glm,first_person,control_irrelevant,control,5,,refusal,6876
glm,first_person,control_irrelevant,control,11,9.0,clean,5570
glm,first_person,control_irrelevant,control,12,4.0,clean,6197
glm,first_person,control_irrelevant,control,14,4.0,clean,4967
glm,first_person,control_irrelevant,control,13,4.0,clean,6287
glm,first_person,control_irrelevant,control,15,4.0,clean,6410
glm,first_person,control_irrelevant,control,17,4.0,clean,4811
glm,first_person,control_irrelevant,control,16,4.0,clean,5442
glm,first_person,control_irrelevant,control,18,,no_scalar_found,6940
glm,first_person,control_irrelevant,control,19,4.0,clean,8350
glm,first_person,control_irrelevant,control,10,,refusal,7748
glm,first_person,neutral,control,0,4.0,clean,6135
glm,first_person,neutral,control,3,4.0,clean,4456
glm,first_person,neutral,control,2,4.0,clean,7058
glm,first_person,neutral,control,4,4.0,clean,5352
glm,first_person,neutral,control,5,4.0,clean,6120
glm,first_person,neutral,control,6,4.0,clean,6091
glm,first_person,neutral,control,11,,no_scalar_found,3858
glm,first_person,neutral,control,12,4.0,clean,7786
glm,first_person,neutral,control,9,,no_scalar_found,5435
glm,first_person,neutral,control,7,4.0,clean,6010
glm,first_person,neutral,control,14,,refusal,3230
glm,first_person,neutral,control,13,4.0,clean,4912
glm,first_person,neutral,control,10,4.0,ambiguous_multiple_numbers,7108
glm,first_person,neutral,control,8,4.0,clean,9470
glm,first_person,neutral,control,16,3.0,clean,5425
glm,first_person,neutral,control,17,4.0,clean,6798
glm,first_person,neutral,control,15,4.0,clean,6071
glm,first_person,neutral,control,1,3.0,clean,9605
glm,first_person,neutral,control,18,3.0,clean,7953
glm,first_person,neutral,control,19,3.0,clean,6241
glm,first_person,vibe_astrology_fan,alt_wellness,1,4.0,clean,6733
glm,first_person,vibe_astrology_fan,alt_wellness,4,4.0,clean,0
glm,first_person,vibe_astrology_fan,alt_wellness,5,4.0,clean,0
glm,first_person,vibe_astrology_fan,alt_wellness,0,4.0,clean,6030
glm,first_person,vibe_astrology_fan,alt_wellness,8,4.0,clean,0
glm,first_person,vibe_astrology_fan,alt_wellness,7,5.0,clean,6248
glm,first_person,vibe_astrology_fan,alt_wellness,9,4.0,clean,6557
glm,first_person,vibe_astrology_fan,alt_wellness,6,4.0,clean,7937
glm,first_person,vibe_astrology_fan,alt_wellness,12,4.0,clean,0
glm,first_person,vibe_astrology_fan,alt_wellness,2,4.0,clean,6977
glm,first_person,vibe_astrology_fan,alt_wellness,10,5.0,clean,5824
glm,first_person,vibe_astrology_fan,alt_wellness,11,4.0,clean,8333
glm,first_person,vibe_astrology_fan,alt_wellness,3,4.0,clean,5693
glm,first_person,vibe_astrology_fan,alt_wellness,17,4.0,clean,5927
glm,first_person,vibe_astrology_fan,alt_wellness,15,4.0,clean,6853
