stage,framing,condition,family,yes,no,total,detection_rate
stage1,first_person,vibe_astrology_fan,alt_wellness,0,20,20,0.0%
stage1,first_person,vibe_ayurveda,alt_wellness,0,20,20,0.0%
stage1,first_person,vibe_biohacker,biohacker,2,18,20,10.0%
stage1,first_person,vibe_conspiracy_mild,crunchy,0,20,20,0.0%
stage1,first_person,vibe_crystals,alt_wellness,0,20,20,0.0%
stage1,first_person,vibe_deadline_crunch,chaotic_life,0,20,20,0.0%
stage1,first_person,vibe_detox_juice,alt_wellness,14,6,20,70.0%
stage1,first_person,vibe_energy_healer,alt_wellness,0,20,20,0.0%
stage1,first_person,vibe_manifestation,alt_wellness,0,20,20,0.0%
stage1,first_person,vibe_mercury_retrograde,chaotic_life,0,20,20,0.0%
stage1,first_person,vibe_quantified_self,biohacker,0,20,20,0.0%
stage1,first_person,vibe_raw_milk,biohacker,18,2,20,90.0%
stage1,first_person,vibe_supplements,biohacker,19,1,20,95.0%
stage1,third_person,control_irrelevant,control,0,20,20,0.0%
stage1,third_person,vibe_astrology_fan,alt_wellness,0,20,20,0.0%
stage1,third_person,vibe_ayurveda,alt_wellness,0,20,20,0.0%
stage1,third_person,vibe_biohacker,biohacker,15,5,20,75.0%
stage1,third_person,vibe_carnivore,biohacker,13,7,20,65.0%
stage1,third_person,vibe_conspiracy_mild,crunchy,0,20,20,0.0%
stage1,third_person,vibe_crystals,alt_wellness,0,20,20,0.0%
stage1,third_person,vibe_deadline_crunch,chaotic_life,0,20,20,0.0%
stage1,third_person,vibe_detox_juice,alt_wellness,19,1,20,95.0%
stage1,third_person,vibe_energy_healer,alt_wellness,0,20,20,0.0%
stage1,third_person,vibe_manifestation,alt_wellness,0,20,20,0.0%
stage1,third_person,vibe_mercury_retrograde,chaotic_life,0,20,20,0.0%
stage1,third_person,vibe_quantified_self,biohacker,1,19,20,5.0%
stage1,third_person,vibe_raw_milk,biohacker,17,3,20,85.0%
stage1,third_person,vibe_supplements,biohacker,20,0,20,100.0%
