domain,framing,condition,category,n,n_refusal,refusal_rate,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value,p_bonferroni,significant
creative,casual,bare,control,20,0,0.00%,6.95,0.22,6.85,7.00,+0.00,+0.000,,,
creative,casual,neutral,control,20,0,0.00%,6.72,0.44,6.53,6.90,-0.23,-0.641,0.0524,1.0000,
creative,casual,control_irrelevant,control,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,author_ai,structured,20,0,0.00%,5.90,0.31,5.75,6.00,-1.05,-3.903,0.0000,0.0000,***
creative,casual,author_human,structured,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,author_awarded,structured,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,casual,author_amateur,structured,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,author_teenager,structured,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,author_child,structured,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,author_prisoner,structured,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,author_elderly,structured,20,0,0.00%,7.95,0.22,7.85,8.00,+1.00,+4.472,0.0000,0.0000,***
creative,casual,effort_quick,structured,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,effort_long,structured,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,casual,translation,structured,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,casual,vibe_weird_email,vibe,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,casual,vibe_no_eye_contact,vibe,20,0,0.00%,6.90,0.31,6.75,7.00,-0.05,-0.186,0.5605,1.0000,
creative,casual,vibe_nervous,vibe,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,vibe_vegan,vibe,20,0,0.00%,6.25,0.44,6.05,6.45,-0.70,-1.990,0.0000,0.0000,***
creative,casual,vibe_astrology,vibe,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,casual,vibe_cringe_ig,vibe,20,0,0.00%,6.47,0.50,6.25,6.70,-0.48,-1.228,0.0006,0.0312,*
creative,casual,vibe_crypto,vibe,20,0,0.00%,6.15,0.37,6.00,6.30,-0.80,-2.636,0.0000,0.0000,***
creative,casual,vibe_friend_ex,vibe,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,casual,vibe_former_roommate,vibe,20,0,0.00%,6.30,0.47,6.10,6.50,-0.65,-1.766,0.0000,0.0003,***
creative,casual,vibe_old_crush,vibe,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,casual,vibe_handwritten_napkin,vibe,20,0,0.00%,7.00,0.00,7.00,7.00,+0.05,+0.316,0.3299,1.0000,
creative,casual,vibe_read_aloud_badly,vibe,20,0,0.00%,6.00,0.00,6.00,6.00,-0.95,-6.008,0.0000,0.0000,***
creative,editorial,bare,control,20,0,0.00%,6.33,0.24,6.22,6.42,+0.00,+0.000,,,
creative,editorial,neutral,control,20,0,0.00%,6.05,0.15,6.00,6.12,-0.28,-1.345,0.0002,0.0085,**
creative,editorial,control_irrelevant,control,20,0,0.00%,6.08,0.18,6.00,6.15,-0.25,-1.157,0.0008,0.0412,*
creative,editorial,author_ai,structured,20,0,0.00%,3.35,0.49,3.15,3.55,-2.98,-7.690,0.0000,0.0000,***
creative,editorial,author_human,structured,20,0,0.00%,5.90,0.31,5.75,6.00,-0.42,-1.529,0.0000,0.0012,**
creative,editorial,author_awarded,structured,20,0,0.00%,6.03,0.11,6.00,6.08,-0.30,-1.577,0.0000,0.0016,**
