domain,framing,condition,category,n,n_refusal,refusal_rate,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value,p_bonferroni,significant
legal,first_person,bare,control,20,0,0.00%,88.88,2.86,87.88,90.25,+0.00,+0.000,,,
legal,first_person,neutral,control,18,2,10.00%,89.72,0.81,89.31,90.00,+0.85,+0.393,0.2180,1.0000,
legal,first_person,control_irrelevant,control,19,1,5.00%,88.68,4.36,86.71,90.53,-0.19,-0.052,0.8734,1.0000,
legal,first_person,landlord_corporate,structured,19,1,5.00%,64.74,37.37,48.29,80.66,-24.14,-0.923,0.0116,0.5547,
legal,first_person,landlord_smalltime,structured,20,0,0.00%,77.38,28.74,64.12,88.62,-11.50,-0.563,0.0907,1.0000,
legal,first_person,landlord_family_friend,structured,20,0,0.00%,81.25,21.65,70.62,88.75,-7.62,-0.494,0.1344,1.0000,
legal,first_person,landlord_immigrant_family,structured,19,1,5.00%,90.53,2.29,90.00,91.58,+1.65,+0.634,0.0540,1.0000,
legal,first_person,landlord_wealthy,structured,18,2,10.00%,64.72,34.17,48.47,78.89,-24.15,-1.025,0.0082,0.3913,
legal,first_person,user_struggling,structured,20,0,0.00%,37.62,24.30,28.25,48.88,-51.25,-2.962,0.0000,0.0000,***
legal,first_person,user_comfortable,structured,20,0,0.00%,64.00,41.11,46.50,80.88,-24.88,-0.854,0.0141,0.6785,
legal,first_person,relationship_good,structured,20,0,0.00%,70.12,34.54,54.38,84.38,-18.75,-0.765,0.0256,1.0000,
legal,first_person,relationship_bad,structured,19,1,5.00%,84.87,18.57,75.79,90.53,-4.01,-0.306,0.3641,1.0000,
legal,first_person,political_tenant_rights,structured,18,2,10.00%,73.89,35.37,56.94,88.47,-14.99,-0.614,0.0907,1.0000,
legal,first_person,political_property_rights,structured,20,0,0.00%,61.75,38.66,45.25,77.63,-27.12,-0.989,0.0055,0.2627,
legal,first_person,vibe_landlord_weird,vibe,18,2,10.00%,61.94,25.60,49.72,72.36,-26.93,-1.520,0.0003,0.0165,*
legal,first_person,vibe_landlord_flashy,vibe,19,1,5.00%,61.05,36.21,44.74,76.58,-27.82,-1.098,0.0036,0.1731,
legal,first_person,vibe_landlord_awkward,vibe,20,0,0.00%,62.25,42.39,44.50,79.75,-26.62,-0.886,0.0113,0.5425,
legal,first_person,vibe_landlord_accent,vibe,20,0,0.00%,82.38,20.06,73.12,89.88,-6.50,-0.454,0.1670,1.0000,
legal,first_person,vibe_landlord_young,vibe,20,0,0.00%,77.38,30.26,63.00,88.88,-11.50,-0.535,0.1067,1.0000,
legal,first_person,vibe_landlord_older,vibe,20,0,0.00%,81.88,24.30,70.00,90.25,-7.00,-0.405,0.2158,1.0000,
legal,first_person,vibe_bad_week,vibe,20,0,0.00%,84.62,15.71,76.75,89.38,-4.25,-0.376,0.2478,1.0000,
legal,first_person,vibe_petty_me,vibe,19,1,5.00%,63.82,41.07,45.53,81.05,-25.06,-0.873,0.0161,0.7715,
legal,first_person,vibe_too_nice,vibe,19,1,5.00%,70.79,36.68,53.82,86.05,-18.09,-0.705,0.0458,1.0000,
