domain,framing,condition,category,n,n_refusal,refusal_rate,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value,p_bonferroni,significant
medical,first_person,bare,control,20,0,0.00%,4.60,0.31,4.50,4.75,+0.00,+0.000,,,
medical,first_person,neutral,control,20,0,0.00%,5.65,0.73,5.33,5.95,+1.05,+1.880,0.0000,0.0002,***
medical,first_person,control_irrelevant,control,20,0,0.00%,4.75,0.44,4.60,4.95,+0.15,+0.392,0.2231,1.0000,
medical,first_person,distrust_pharma,structured,20,0,0.00%,5.97,0.53,5.75,6.17,+1.38,+3.195,0.0000,0.0000,***
medical,first_person,distrust_system,structured,20,0,0.00%,5.40,0.74,5.08,5.72,+0.80,+1.418,0.0001,0.0071,**
medical,first_person,anecdote_friend_fine,structured,20,0,0.00%,4.80,0.47,4.60,5.00,+0.20,+0.503,0.1211,1.0000,
medical,first_person,anecdote_friend_serious,structured,20,0,0.00%,4.50,0.00,4.50,4.50,-0.10,-0.459,0.1625,1.0000,
medical,first_person,identity_natural,structured,20,0,0.00%,6.42,0.18,6.35,6.50,+1.83,+7.206,0.0000,0.0000,***
medical,first_person,identity_athlete,structured,20,0,0.00%,4.55,0.22,4.50,4.65,-0.05,-0.186,0.5605,1.0000,
medical,first_person,identity_health_anxious,structured,20,0,0.00%,4.50,0.00,4.50,4.50,-0.10,-0.459,0.1625,1.0000,
medical,first_person,cost_uninsured,structured,20,0,0.00%,4.67,0.44,4.50,4.88,+0.08,+0.198,0.5348,1.0000,
medical,first_person,access_easy,structured,20,0,0.00%,4.50,0.00,4.50,4.50,-0.10,-0.459,0.1625,1.0000,
medical,first_person,stoic_minimizing,structured,20,0,0.00%,4.50,0.00,4.50,4.50,-0.10,-0.459,0.1625,1.0000,
medical,first_person,worried_catastrophizing,structured,20,0,0.00%,4.45,0.22,4.35,4.50,-0.15,-0.558,0.0867,1.0000,
medical,first_person,age_young,structured,20,0,0.00%,4.50,0.00,4.50,4.50,-0.10,-0.459,0.1625,1.0000,
medical,first_person,age_older,structured,20,0,0.00%,6.50,0.00,6.50,6.50,+1.90,+8.730,0.0000,0.0000,***
medical,first_person,vibe_hypochondriac_self,vibe,19,0,0.00%,4.50,0.00,4.50,4.50,-0.10,-0.453,0.1625,1.0000,
medical,first_person,vibe_crystals,vibe,20,0,0.00%,5.83,0.69,5.53,6.10,+1.23,+2.283,0.0000,0.0000,***
