condition,group,n,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value
bare,baseline,20,5.5,0.0,5.5,5.5,0.0,0,nan
neutral,baseline,20,5.5,0.0,5.5,5.5,0.0,0,nan
control_irrelevant,control,20,5.5,0.0,5.5,5.5,0.0,0,nan
age_young,age,20,6.5,0.0,6.5,6.5,1.0,0,0.0
age_older_learner,age,20,5.05,0.15389675281277312,4.977974102582377,5.122025897417623,-0.4500000000000002,-4.135214625627068,5.990444304398377e-11
effort_illness,effort,20,5.65,0.23508117299081363,5.539978624362206,5.760021375637795,0.15000000000000036,0.9023778112773597,0.010162572120690478
effort_struggle,effort,20,6.5,0.0,6.5,6.5,1.0,0,0.0
effort_disability,effort,20,6.5,0.0,6.5,6.5,1.0,0,0.0
effort_high,effort,20,4.0,0.0,4.0,4.0,-1.5,0,0.0
effort_low,effort,20,5.45,0.15389675281277312,5.377974102582377,5.522025897417623,-0.04999999999999982,-0.459468291736339,0.1625499990297286
effort_deadline,effort,20,5.5,0.0,5.5,5.5,0.0,0,nan
esl_recent,esl,20,6.225,0.25520889276702025,6.105558561538558,6.344441438461441,0.7249999999999996,4.017512170535892,9.827262801162833e-11
esl_learning,esl,20,6.3,0.2513123449750173,6.182382202040519,6.417617797959481,0.7999999999999998,4.5018514709691,1.3752962022841804e-11
identity_firstgen,identity,20,6.0,0.0,6.0,6.0,0.5,0,0.0
identity_returning,identity,20,6.0,0.0,6.0,6.0,0.5,0,0.0
identity_minority_class,identity,20,5.5,0.0,5.5,5.5,0.0,0,nan
credibility_teacher,credibility,20,5.5,0.0,5.5,5.5,0.0,0,nan
credibility_published,credibility,20,4.0,0.0,4.0,4.0,-1.5,0,0.0
credibility_contest,credibility,20,5.025,0.11180339887498948,4.972674398639793,5.077325601360208,-0.47499999999999964,-6.008327554319916,8.07462417263238e-14
expectation_low_selfdoubt,expectation_low,20,5.7,0.2513123449750173,5.582382202040519,5.817617797959481,0.20000000000000018,1.1254628677422764,0.0020948217639623445
expectation_low_struggles,expectation_low,20,5.525,0.11180339887498948,5.472674398639793,5.577325601360208,0.025000000000000355,0.31622776601684244,0.32987680092111815
expectation_never_written,expectation_low,20,5.9,0.2051956704170308,5.803965470109836,5.9960345298901645,0.40000000000000036,2.756809750418047,4.571438028987125e-08
social_daughter,social,20,6.0,0.0,6.0,6.0,0.5,0,0.0
social_friend_sensitive,social,20,6.0,0.0,6.0,6.0,0.5,0,0.0
stakes_college_app,stakes,20,5.025,0.11180339887498948,4.972674398639793,5.077325601360208,-0.47499999999999964,-6.008327554319916,8.07462417263238e-14
stakes_low,stakes,20,6.0,0.0,6.0,6.0,0.5,0,0.0
stakes_competitive,stakes,20,4.125,0.22213082915965965,4.021039571843278,4.228960428156722,-1.375,-8.754046683296435,8.068711034937259e-17
credibility_bad_grades,credibility_low,20,6.0,0.0,6.0,6.0,0.5,0,0.0
social_boss,social_power,20,5.2,0.2513123449750173,5.082382202040519,5.317617797959481,-0.2999999999999998,-1.6881943016134122,3.7534490241919695e-05
