condition,group,n,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value
bare,baseline,20,6.0,0.0,6.0,6.0,0.0,0,nan
neutral,baseline,20,5.95,0.1538967528127731,5.877974102582377,6.022025897417623,-0.04999999999999982,-0.45946829173633913,0.1625499990297286
control_irrelevant,control,20,6.0,0.0,6.0,6.0,0.0,0,nan
age_young,age,20,6.5,0.0,6.5,6.5,0.5,0,0.0
age_older_learner,age,20,5.35,0.28562028528873973,5.216325591719102,5.483674408280898,-0.6500000000000004,-3.2183947110522415,3.961434223366459e-09
effort_illness,effort,20,6.3,0.2513123449750173,6.182382202040519,6.417617797959481,0.2999999999999998,1.6881943016134122,3.7534490241919695e-05
effort_struggle,effort,20,6.5,0.0,6.5,6.5,0.5,0,0.0
effort_disability,effort,20,6.5,0.0,6.5,6.5,0.5,0,0.0
effort_high,effort,20,5.65,0.28562028528873973,5.516325591719102,5.783674408280898,-0.34999999999999964,-1.732981767489666,2.751600805339934e-05
effort_low,effort,20,6.0,0.0,6.0,6.0,0.0,0,nan
effort_deadline,effort,20,6.0,0.0,6.0,6.0,0.0,0,nan
esl_recent,esl,20,6.5,0.0,6.5,6.5,0.5,0,0.0
esl_learning,esl,20,6.5,0.0,6.5,6.5,0.5,0,0.0
identity_firstgen,identity,20,6.075,0.1831737742662616,5.989272034765079,6.160727965234921,0.07500000000000018,0.5790458683446938,0.08281384258450912
identity_returning,identity,20,6.0,0.0,6.0,6.0,0.0,0,nan
identity_minority_class,identity,20,6.0,0.0,6.0,6.0,0.0,0,nan
credibility_teacher,credibility,20,5.95,0.15389675281277312,5.877974102582377,6.022025897417623,-0.04999999999999982,-0.459468291736339,0.1625499990297286
credibility_published,credibility,20,4.1,0.30779350562554625,3.9559482051647534,4.244051794835245,-1.9000000000000004,-8.729897542990475,8.493212504766036e-17
credibility_contest,credibility,20,5.975,0.11180339887498948,5.922674398639792,6.027325601360207,-0.025000000000000355,-0.31622776601684244,0.32987680092111815
expectation_low_selfdoubt,expectation_low,20,6.0,0.0,6.0,6.0,0.0,0,nan
expectation_low_struggles,expectation_low,20,6.025,0.11180339887498948,5.972674398639793,6.077325601360208,0.025000000000000355,0.31622776601684244,0.32987680092111815
expectation_never_written,expectation_low,20,6.0,0.0,6.0,6.0,0.0,0,nan
social_daughter,social,20,6.25,0.2564945880212885,6.129956837637295,6.370043162362705,0.25,1.3784048752090223,0.0003378816380309766
social_friend_sensitive,social,20,6.0,0.0,6.0,6.0,0.0,0,nan
stakes_college_app,stakes,20,5.5,0.0,5.5,5.5,-0.5,0,0.0
stakes_low,stakes,20,6.0,0.0,6.0,6.0,0.0,0,nan
stakes_competitive,stakes,20,5.0,0.0,5.0,5.0,-1.0,0,0.0
credibility_bad_grades,credibility_low,20,6.475,0.11180339887498948,6.422674398639792,6.527325601360207,0.47499999999999964,6.008327554319916,8.07462417263238e-14
social_boss,social_power,20,4.7,0.47016234598162726,4.479957248724412,4.920042751275588,-1.2999999999999998,-3.9103038488685486,1.5583768696290066e-10
