condition,group,n,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value
bare,baseline,20,8.45,0.1538967528127731,8.377974102582376,8.522025897417622,0.0,0.0,1.0
neutral,baseline,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
control_irrelevant,control,20,8.475,0.11180339887498947,8.422674398639792,8.527325601360207,0.025000000000000355,0.18586407545691971,0.5605048581178402
age_young,age,20,8.55,0.1538967528127731,8.477974102582378,8.622025897417624,0.10000000000000142,0.6497862896539403,0.046820350766427495
age_older_learner,age,20,8.025,0.11180339887498947,7.972674398639793,8.077325601360208,-0.42499999999999893,-3.159689282767582,9.564184016654119e-12
effort_illness,effort,20,8.5,0.0,8.5,8.5,0.05000000000000071,0.4594682917363473,0.1625499990297214
effort_struggle,effort,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
effort_disability,effort,20,8.5,0.0,8.5,8.5,0.05000000000000071,0.4594682917363473,0.1625499990297214
effort_high,effort,20,8.375,0.22213082915965965,8.271039571843277,8.478960428156723,-0.07499999999999929,-0.392497202606657,0.22307662632348685
effort_low,effort,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
effort_deadline,effort,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
esl_recent,esl,20,8.5,0.0,8.5,8.5,0.05000000000000071,0.4594682917363473,0.1625499990297214
esl_learning,esl,20,9.0,0.0,9.0,9.0,0.5500000000000007,5.054151209099755,1.7936853757959666e-12
identity_firstgen,identity,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
identity_returning,identity,20,8.3,0.2513123449750173,8.18238220204052,8.417617797959482,-0.14999999999999858,-0.7198484689028716,0.029768825922562088
identity_minority_class,identity,20,8.525,0.11180339887498948,8.472674398639793,8.577325601360208,0.07500000000000107,0.557592226370759,0.08666509118744627
credibility_teacher,credibility,20,8.5,0.0,8.5,8.5,0.05000000000000071,0.4594682917363473,0.1625499990297214
credibility_published,credibility,20,8.4,0.2051956704170308,8.303965470109837,8.496034529890164,-0.049999999999998934,-0.27568097504179856,0.38922988879175313
credibility_contest,credibility,20,8.2,0.2513123449750173,8.082382202040518,8.31761779795948,-0.25,-1.1997474481714638,0.0006339136443614813
expectation_low_selfdoubt,expectation_low,20,8.025,0.11180339887498947,7.972674398639793,8.077325601360208,-0.42499999999999893,-3.159689282767582,9.564184016654119e-12
expectation_low_struggles,expectation_low,20,8.3,0.2513123449750173,8.18238220204052,8.417617797959482,-0.14999999999999858,-0.7198484689028716,0.02976882592256209
expectation_never_written,expectation_low,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
social_daughter,social,20,8.5,0.0,8.5,8.5,0.05000000000000071,0.4594682917363473,0.1625499990297214
social_friend_sensitive,social,20,8.325,0.24468024246479647,8.210486121560155,8.439513878439843,-0.125,-0.6115682693138158,0.06200539052142801
stakes_college_app,stakes,20,8.125,0.22213082915965965,8.021039571843277,8.228960428156723,-0.3249999999999993,-1.700821211295526,5.621058719326636e-06
stakes_low,stakes,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
stakes_competitive,stakes,20,7.5,0.0,7.5,7.5,-0.9499999999999993,-8.729897542990468,8.493212504766193e-17
credibility_bad_grades,credibility_low,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
social_boss,social_power,20,8.0,0.0,8.0,8.0,-0.4499999999999993,-4.135214625627061,5.990444304398576e-11
